"[1, 1, 385, 302, 1679696315.777225]","[2, 1, 308, 266, 1679696315.777225]","[3, 1, 269, 245, 1679696315.777225]","[4, 1, 235, 290, 1679696315.777225]","[5, 3, 223, 233, 1679696315.777225]"
"[1, 1, 382, 301, 1679696315.823491]","[2, 1, 307, 265, 1679696315.823491]","[3, 1, 269, 244, 1679696315.823491]","[4, 1, 235, 290, 1679696315.823491]","[5, 3, 223, 233, 1679696315.823491]"
"[1, 1, 380, 300, 1679696315.870244]","[2, 1, 306, 265, 1679696315.870244]","[3, 1, 268, 244, 1679696315.870244]","[4, 1, 235, 290, 1679696315.870244]","[5, 3, 223, 233, 1679696315.870244]"
"[1, 1, 378, 299, 1679696315.919831]","[2, 1, 305, 264, 1679696315.919831]","[3, 1, 267, 244, 1679696315.919831]","[4, 1, 235, 290, 1679696315.919831]","[5, 3, 223, 233, 1679696315.919831]"
"[1, 1, 376, 298, 1679696315.962702]","[2, 1, 304, 264, 1679696315.962702]","[3, 1, 266, 244, 1679696315.962702]","[4, 1, 235, 290, 1679696315.962702]","[5, 3, 223, 233, 1679696315.962702]"
"[1, 1, 374, 297, 1679696316.010397]","[2, 1, 303, 263, 1679696316.010397]","[3, 1, 265, 243, 1679696316.010397]","[4, 1, 235, 290, 1679696316.010397]","[5, 3, 224, 233, 1679696316.010397]"
"[1, 1, 372, 296, 1679696316.057026]","[2, 1, 302, 263, 1679696316.057026]","[3, 1, 265, 243, 1679696316.057026]","[4, 1, 235, 290, 1679696316.057026]","[5, 3, 224, 233, 1679696316.057026]"
"[1, 1, 370, 295, 1679696316.114744]","[2, 1, 301, 262, 1679696316.114744]","[3, 1, 264, 243, 1679696316.114744]","[4, 1, 235, 290, 1679696316.114744]","[5, 3, 224, 233, 1679696316.114744]"
"[1, 1, 368, 294, 1679696316.149467]","[2, 1, 300, 261, 1679696316.149467]","[3, 1, 264, 242, 1679696316.149467]","[4, 1, 235, 290, 1679696316.149467]","[5, 3, 224, 233, 1679696316.149467]"
"[1, 1, 367, 293, 1679696316.20309]","[2, 1, 299, 261, 1679696316.20309]","[3, 1, 263, 242, 1679696316.20309]","[4, 1, 235, 290, 1679696316.20309]","[5, 3, 225, 234, 1679696316.20309]"
